tail_70,tail_80,tail_90,hf_lf_ratio,mean_power,std_power,power_range,decay_linearity,label,filename
-0.009348515358523402,-0.00906134845219331,-0.009313848610326332,0.7635908131146788,8.154534518473127,1.4525273449254683,9.838335579515377,-0.9932621411871225,FAKE,easy_100_1111.jpg
-0.017328024383836696,-0.0028842490090838354,-0.013641270098005023,0.7437154650843552,7.82113691973325,1.5920779941144256,9.758528694273027,-0.9920927014198845,FAKE,easy_101_0010.jpg
-0.013165730881705437,-0.008827921164486736,-0.003960636783327702,0.7444889538405185,7.828620493922032,1.5343308368571105,10.061414805033568,-0.9916760705149559,FAKE,easy_102_0101.jpg
-0.0268280527931528,-0.012589733390918529,-0.009156887521157439,0.6812516482519906,7.637867547725829,1.8748950407311888,10.264236199263856,-0.9810723988869241,FAKE,easy_103_1111.jpg
-0.013421171266820447,-0.0049778261111372395,0.016367457093299592,0.7451863749772015,8.157656564504189,1.5901510444589737,10.790909478337166,-0.9882917842994295,FAKE,easy_104_1000.jpg
-0.026126654674777913,-0.010284751831791424,-0.001053696193698319,0.696305131725226,7.686534642146422,1.7936471848904625,10.524933109755343,-0.9917556290498923,FAKE,easy_105_1100.jpg
-0.022722401969818416,-0.015100225270777343,-0.0050547544597727605,0.6776259479671146,7.878556875482952,1.8546795273686767,9.931011439377045,-0.9894620740924378,FAKE,easy_106_0011.jpg
-0.019773575123049246,-0.004990376283878156,-0.005888535289645563,0.7367956979668183,8.000008318281607,1.6121148326289065,9.605154345263488,-0.9925707978979553,FAKE,easy_107_1011.jpg
-0.011000972489063846,0.0040530655013581674,-0.013202516331034598,0.782402072793209,8.22964372897511,1.4414490868862997,9.750072500205015,-0.9845773703693489,FAKE,easy_108_1111.jpg
-0.022583997706828528,-0.006708247445252356,-0.008292615019982307,0.6689123146644257,7.036143906231515,1.8833015429831186,11.26566684826677,-0.9802002513906598,FAKE,easy_109_1111.jpg
-0.01837821375809211,-0.014786150186986776,-0.010789476255977986,0.7596059622865935,8.229987017286447,1.5283236552192658,10.01999754059665,-0.9913601070645446,FAKE,easy_10_0001.jpg
-0.013157070943510792,-0.014462733199849611,-0.006798273070686247,0.7081148759217611,7.716824550742533,1.7307331348615953,10.759650350236583,-0.9932971077579678,FAKE,easy_110_0001.jpg
-0.01460682607576393,-0.0041304537447068735,0.003444862333400784,0.7359383517927254,8.19578709333545,1.6560568423415991,9.698229039648268,-0.9930291602511452,FAKE,easy_111_1101.jpg
-0.020204238349352817,-0.00885358017532993,0.005137404299851125,0.7214372508919185,7.822365379401477,1.678019684258563,10.336628561714232,-0.9765347652956151,FAKE,easy_112_1001.jpg
-0.026997020582789206,-0.01360894656380418,-0.01270591185516634,0.6509185115897776,7.2780796805320565,1.976320255949042,10.639025972500583,-0.9812082180081968,FAKE,easy_113_0011.jpg
-0.015807208970512437,-0.012327552405765765,-0.00870674865203061,0.7786416035631902,8.370549387177265,1.4621216375238233,9.60400542621625,-0.9929166932849994,FAKE,easy_114_1110.jpg
-0.010356222440442054,-0.008741136939582781,-0.007377910923871931,0.841002876399855,8.651042046720525,1.095414275695223,7.969170903111828,-0.9912056311163244,FAKE,easy_115_0010.jpg
-0.008284020412789014,0.0032745759018073532,-0.010129508394700698,0.7944400492930589,8.448710294084366,1.368149903461978,8.71648873274205,-0.9574132470529833,FAKE,easy_116_111.jpg
-0.03940814885377582,-0.002779250422127244,-0.0020583760633478025,0.6371206521772295,6.776013351718622,2.1270208684660705,10.850402017371453,-0.9190662662661184,FAKE,easy_117_0101.jpg
