type,filename,log_hf_ratio,tail_70,tail_80,tail_90,spectral_slope,ela_std,n_freq
REAL,real_00556.jpg,-3.513511504513856,-5.583538991186368,-4.5101356887996555,-4.038354999616835,-3.7438271435174415,1.431316145763082,419
REAL,real_00822.jpg,-3.8406833860921314,-5.533018219492491,-4.391244303456295,-1.508370886149207,-4.445357388069769,1.1559021082891006,419
REAL,real_00278.jpg,-3.89089766325376,-6.199698391487813,-5.9296440198357265,-7.512678740169831,-4.80980737299758,1.2314793732702642,419
REAL,real_00017.jpg,-4.191853270168928,-4.990379709389843,-3.4233092950246293,-3.9582839528458327,-5.051123008011506,1.1382165939679276,419
REAL,real_00988.jpg,-3.2814180183680692,-6.244593516591905,-6.213203337303386,-5.5130101480425555,-3.722412328374506,1.4303669138465922,419
REAL,real_00415.jpg,-3.575953820350211,-5.52211328047881,-4.203178425522197,-2.5778316126466105,-3.6384649931849684,1.3188314583570284,419
REAL,real_00659.jpg,-4.0342725177775,-4.3468549671277685,-2.2363779153825103,0.6938036175173127,-5.362603868774734,0.9827701609301525,419
REAL,real_00154.jpg,-3.324304350937644,-6.2838930656245635,-4.235548595121782,-4.324055691405762,-4.612513690835112,1.4893217289574543,419
REAL,real_00764.jpg,-2.921403231644149,-4.1101201150453734,-4.024074987074395,-1.2261892835522423,-2.3729701969570005,2.5729414505947164,419
REAL,real_00750.jpg,-3.573232360494714,-5.77108754671984,-5.277102806320742,-2.9074223109492943,-3.3486665888445555,1.2362198197503083,419
REAL,real_00977.jpg,-3.861778135801124,-5.4022527667261215,-3.637081992132278,-2.2970526636397692,-4.479553809273777,1.5152123483163664,419
REAL,real_00534.jpg,-3.893203634366103,-5.374330507345773,-3.104297970165353,-2.185874938585757,-5.388116171902648,1.1426652182318275,419
REAL,real_00846.jpg,-2.48323591470561,-4.804154340646917,-4.485185308761935,-4.314195169387443,-2.6006257479100046,3.4455049981957266,419
REAL,real_00130.jpg,-4.214148641181272,-3.040384833632102,-1.6893780641638443,-4.59758592465208,-5.505883314064438,0.8075930676146403,419
REAL,real_00532.jpg,-3.922114127341581,-6.43112678427972,-4.754990165584216,-2.2367623060819595,-4.688188827833397,1.0684678327907229,419
REAL,real_00845.jpg,-2.95478874795099,-4.546573820684438,-3.8889897239768323,-3.265490082710632,-2.5685639158396367,1.470765217247851,419
REAL,real_00770.jpg,-3.190150387674695,-6.299825564748469,-6.794208683218565,-6.491156300580226,-3.2044437806569515,2.5719666693172187,419
REAL,real_00277.jpg,-3.3144615239797313,-6.460600486662206,-6.337243717098713,-5.995238721715269,-4.937484477105569,1.855215048804689,419
REAL,real_00347.jpg,-3.4285599093641665,-5.416471757084383,-4.767745019386257,-3.50125107129213,-3.8418309300746722,1.6378129274081288,419
REAL,real_00408.jpg,-2.9501640298500855,-4.636145307081924,-4.538223320844448,-4.095743948871017,-2.6874295993803634,1.9046689687109333,419
REAL,real_01013.jpg,-3.811728608355851,-6.262078686857627,-5.181114643954742,-2.770229371354589,-4.604788860027524,1.549414519981364,419
REAL,real_00144.jpg,-2.715190421733299,-4.629944333905114,-4.494487042201719,-3.005716269581584,-2.066417042880617,1.655935409359053,419
REAL,real_00554.jpg,-3.690706437911011,-4.663170539296914,-3.805404976099543,-4.72168367317601,-3.733258145085018,1.695905273381323,419
REAL,real_00704.jpg,-2.8702361137510692,-3.709943089693123,-3.202470215904193,-0.6962439517124019,-2.709590464119032,2.8867345539660776,419
REAL,real_00419.jpg,-3.40963105076455,-5.101418769081408,-4.315659744815617,-1.478519674283037,-3.380412665215719,1.8506376843319197,419
REAL,real_00865.jpg,-4.309834810634216,-5.54961435084135,-4.3776288114293695,-4.372706165167164,-5.219223442761943,1.0397576695339137,419
REAL,real_00381.jpg,-2.891426615428428,-2.7079895035652677,-2.6756365173478542,-0.8798128985144416,-2.09167983450792,2.096562855506853,419
REAL,real_00375.jpg,-3.489503112959748,-5.956835710066887,-5.2222173028672785,-3.56335706985309,-4.061754331255887,1.2348946353800383,419
REAL,real_00048.jpg,-2.968319555331755,-6.210699304245922,-5.288476977350765,-4.878621646958638,-3.1009427059642363,1.5246304599419218,419
REAL,real_00693.jpg,-4.016698650245616,-4.697237967173754,-3.1265002134310746,-2.4851402376408753,-5.241885180533669,0.9361299666910771,419
REAL,real_01034.jpg,-3.529954495049168,-5.9909726578102065,-4.555431038490977,-0.4912182214482328,-3.7037496929895046,1.5231548349507054,419
REAL,real_00817.jpg,-3.522892528878106,-5.371338378386264,-4.7663228000173605,-3.160166989434914,-3.5550943041135863,1.8146463428038266,419
REAL,real_00928.jpg,-3.6952437079473093,-5.575052358152317,-4.290312035751448,-0.8614547657605706,-4.414029696575476,1.2093104307245617,419
REAL,real_00190.jpg,-3.9816555151088218,-5.803145212515586,-3.865436625291963,-3.871918158275207,-5.500189650519323,1.2750346111896935,419
REAL,real_00348.jpg,-3.9732885087402243,-1.5543269121868923,2.3275751016884727,8.20774618772797,-4.338079459325724,0.9603132121828638,419
REAL,real_00608.jpg,-3.591010988753274,-5.274900427577722,-5.202551881010315,-4.4930219232635284,-3.7181221045198276,1.061637771762471,419
REAL,real_00598.jpg,-4.347464710388732,-5.47221229079563,-4.342974914788066,-2.87007878497672,-5.03882359329279,1.0614541562997084,419
